"LAST.NAME","FIRST.NAME","DOB","POB","SSN","SEX","STREET.NUMBER","STREET.NAME","VOTER.REG.DATE","PARTY"
"KASPAR","ISAAC","14681","ALDERWOOD","452-61-1015","MALE",447,"BITTEROOT",1959-03-07,"REPUBLICAN"
"APTS","JOSEPH","13617","OKLAHOMA","895-86-8288","MALE",631,"KINNIKINICK",1959-03-08,"DEMOCRAT"
"RICHMOND","JOYCE","13617","CALIFORNIA","511-93-2623","FEMALE",117,"ANGORA",1959-03-08,"REPUBLICAN"
"JUNE","BETH","8118","IDAHO","547-12-5817","FEMALE",27,"SINGAPURA",1959-03-09,"DEMOCRAT"
"SORENSEN","KIRK","14618","MONTANA","760-79-7595","MALE",138,"TWINBERRY",1959-03-09,"REPUBLICAN"
"BURRUP","LESLIE","14684","UTAH","938-21-0398","FEMALE",665,"WOLFHOUND",1959-03-10,"INDEPENDENT"
"HAYES","BRAD","14619","ALDERWOOD","563-48-8804","MALE",1820,"SPANIEL",1959-03-10,"DEMOCRAT"
"PRICHARD","CARRIE","14120","ALDERWOOD","138-44-3091","FEMALE",384,"ARROWOOD",1959-03-11,"DEMOCRAT"
"WEIMER","MICHAEL","14120","ALDERWOOD","467-61-9451","MALE",1416,"SAFFLOWER",1959-03-11,"DEMOCRAT"
"LARSON","NADINE","7621","ALDERWOOD","308-84-6659","FEMALE",1480,"SWEET PEA",1959-03-12,"DEMOCRAT"
"MEADER","DONALD","13621","UTAH","123-54-8354","MALE",56,"CORNFLOWER",1959-03-12,"REPUBLICAN"
"JAO","OSCAR","15052","UTAH","659-05-0840","MALE",177,"PERSIMMON",1959-03-13,"DEMOCRAT"
"PERKINS","CAROLINE","14122","WASHINGTON","066-87-2352","FEMALE",1624,"CORALBERRY",1959-03-13,"REPUBLICAN"
"HEABERLIN","DENNIS","13123","ALDERWOOD","785-34-2129","MALE",1121,"CHIHUAHUA",1959-03-14,"REPUBLICAN"
"PEREZ","PATTY","14123","ALDERWOOD","670-69-1881","FEMALE",695,"AIREDALE",1959-03-14,"DEMOCRAT"
"CARROLL","KATY","13624","IDAHO","489-89-9561","FEMALE",134,"DALMATIAN",1959-03-15,"REPUBLICAN"
"EASTER","RAFAEL","13624","OREGON","872-51-6282","MALE",3124,"KOMONDOR",1959-03-15,"DEMOCRAT"
"BARNARD","SANDY","14625","MONTANA","383-06-2796","FEMALE",213,"COON",1959-03-16,"REPUBLICAN"
"GORITY","WAYNE","14625","ARIZONA","825-08-2074","MALE",244,"SUNFLOWER",1959-03-16,"REPUBLICAN"
"CURTIS","CYNTHIA","15056","ALDERWOOD","637-30-7474","FEMALE",294,"SIXTH",1959-03-17,"REPUBLICAN"
"LUND","TONY","13626","MEXICO","643-29-0907","MALE",1150,"CRANBERRY",1959-03-17,"REPUBLICAN"
"ESTES","VALERIE","13627","ALDERWOOD","701-07-4315","FEMALE",1705,"MALTESE",1959-03-18,"REPUBLICAN"
"LUCZYNSKI","NEAL","13627","ALABAMA","580-19-0103","MALE",337,"PAWPAW",1959-03-18,"REPUBLICAN"
"ELZIE","NATALIE","13628","ALDERWOOD","860-60-8254","FEMALE",1884,"STRAWBERRY",1959-03-19,"INDEPENDENT"
"PRAETORIUS","WILLIAM","14628","ALDERWOOD","978-67-5284","MALE",469,"GINGER",1959-03-19,"REPUBLICAN"
"ETTESVOLD","ANDREA","13629","CALIFORNIA","522-21-5027","FEMALE",14,"PAWPAW",1959-03-20,"REPUBLICAN"
"MARTIN","MIKE","13629","ALDERWOOD","277-72-9443","MALE",823,"SUNSET",1959-03-20,"DEMOCRAT"
"NAKAMURA","BARRY","12630","INDIANA","918-57-1330","MALE",39,"THIRD",1959-03-21,"REPUBLICAN"
"SMITH","KIMBERLY","13630","ALDERWOOD","274-72-5297","FEMALE",1946,"BRITTANY",1959-03-21,"DEMOCRAT"
"ALLEN","SCOTT","13631","ALDERWOOD","340-19-2964","MALE",530,"MALAMUTE",1959-03-22,"DEMOCRAT"
"RICHART","CHANTAL","13131","ARIZONA","815-36-5387","FEMALE",39,"AKITA",1959-03-22,"REPUBLICAN"
"DEATON","DEAN","13632","ALDERWOOD","793-62-6842","MALE",1268,"COON",1959-03-23,"INDEPENDENT"
"MENTZ","BECKY","14132","MONTANA","218-04-3153","FEMALE",29,"SPHYNX",1959-03-23,"DEMOCRAT"
"BOWER","ERIN","13633","ALDERWOOD","074-53-6854","FEMALE",2086,"GINGER",1959-03-24,"DEMOCRAT"
"PEARSON","THOMAS","13133","ALDERWOOD","509-85-0502","MALE",397,"CLOUDBERRY",1959-03-24,"DEMOCRAT"
"HINKELMAN","FELIX","14634","UTAH","763-05-1089","MALE",340,"COON",1959-03-25,"DEMOCRAT"
"SCHULTZ","REBECAH","13634","CALIFORNIA","774-14-2626","FEMALE",192,"KEESHOND",1959-03-25,"REPUBLICAN"
"DAVIES","STEVEN","14135","ALDERWOOD","434-08-3445","MALE",3115,"COON",1959-03-26,"REPUBLICAN"
"WONG","GABRIELLE","13635","ALDERWOOD","909-57-8637","FEMALE",1648,"SAVANNAH",1959-03-26,"DEMOCRAT"
"STEVENSON","KELLY","14636","ALDERWOOD","569-76-4894","FEMALE",2450,"CORGI",1959-03-27,"REPUBLICAN"
"WILCOX","HUMBERTO","7636","OREGON","843-20-1019","MALE",3313,"ALDER",1959-03-27,"DEMOCRAT"
"CRNKOVICH","RICHARD","14637","ALDERWOOD","423-11-5441","MALE",1764,"SINGAPURA",1959-03-28,"REPUBLICAN"
"MACDUFF","INGRID","14137","NEW HAMPSHIRE","154-02-6190","FEMALE",609,"SECOND",1959-03-28,"DEMOCRAT"
"AUGUSTENBORG","JERRY","14638","ALDERWOOD","085-17-4311","MALE",1519,"WOLFHOUND",1959-03-29,"REPUBLICAN"
"DOYLE","ANGELA","8138","UTAH","291-27-3635","FEMALE",5,"BROOM",1959-03-29,"REPUBLICAN"
"GRAYBEAL","WILLIAM","11639","ALDERWOOD","075-10-1333","MALE",1214,"HAVANESE",1959-03-30,"REPUBLICAN"
"THOMAS","KAREN","14139","ILLINOIS","883-45-5139","FEMALE",374,"ANGORA",1959-03-30,"REPUBLICAN"
"METCALF","MICHELLE","13140","OREGON","605-55-1905","FEMALE",785,"BURMESE",1959-03-31,"REPUBLICAN"
"SINGHAL","LORENZO","14640","ALDERWOOD","468-30-9934","MALE",2646,"LOCUST",1959-03-31,"REPUBLICAN"
"KENNEDY","ROBERT","14706","ALDERWOOD","745-96-1553","MALE",1386,"ESKIMO",1959-04-01,"INDEPENDENT"
"WIBORG","MELISSA","14141","NEW HAMPSHIRE","061-79-9169","FEMALE",325,"PRICKLYPEAR",1959-04-01,"REPUBLICAN"
"MATSUMOTO","AMY","14142","ALDERWOOD","071-27-1451","FEMALE",3367,"ESKIMO",1959-04-02,"DEMOCRAT"
"STRATTON","NOEL","8142","MONTANA","161-29-2250","FEMALE",183,"BARREL",1959-04-02,"REPUBLICAN"
"ERICKSON","OLGA","13643","ARIZONA","381-49-4794","FEMALE",349,"KOMONDOR",1959-04-03,"REPUBLICAN"
"URIE","KENNETH","14643","KENTUCKY","983-03-0691","MALE",388,"PERSIMMON",1959-04-03,"DEMOCRAT"
"LARUE","MELISSA","14144","ALDERWOOD","608-67-5065","FEMALE",2716,"SUNFLOWER",1959-04-04,"DEMOCRAT"
"SCHMID","PABLO","13644","ALDERWOOD","360-83-7092","MALE",1203,"EIGHTEENTH",1959-04-04,"REPUBLICAN"
"ALEXANDER","REBEKAH","8145","MONTANA","493-28-7336","FEMALE",206,"SAVANNAH",1959-04-05,"INDEPENDENT"
"SHIMSKEY","JEFFERY","14645","ALDERWOOD","667-39-7619","MALE",331,"LAUREL",1959-04-05,"DEMOCRAT"
"BLOMBERG","HEATHER","14711","HAWAII","737-93-6705","MALE",177,"ROSEHIP",1959-04-06,"DEMOCRAT"
"LARSON","SEBASTIEN","14646","ARIZONA","757-47-3732","MALE",286,"LILY",1959-04-06,"DEMOCRAT"
"CHENAULT","CHRISTOPHER","13647","ALDERWOOD","604-25-8545","MALE",856,"CORALBERRY",1959-04-07,"REPUBLICAN"
"WALLING","TANYA","14147","ALDERWOOD","361-90-6501","FEMALE",941,"PEONY",1959-04-07,"DEMOCRAT"
"CRANDALL","VAN","13648","UTAH","936-91-9600","MALE",1165,"SPHYNX",1959-04-08,"DEMOCRAT"
"WESTER","STEPHANIE","8148","ALDERWOOD","764-10-8880","FEMALE",1876,"DALMATIAN",1959-04-08,"REPUBLICAN"
"BAKER","WENDY","14149","ALDERWOOD","423-98-4267","FEMALE",1582,"MASTIFF",1959-04-09,"DEMOCRAT"
"LINDENMEIER","JOHN","13649","ALDERWOOD","068-26-9219","MALE",1652,"SALMON",1959-04-09,"REPUBLICAN"
"PARKS","LAUREN","13650","ALDERWOOD","897-67-7637","MALE",2702,"COON",1959-04-10,"REPUBLICAN"
"TURNER","ARTHUR","13150","ALDERWOOD","554-94-3977","MALE",770,"BUFFALOBERRY",1959-04-10,"DEMOCRAT"
"PATRICK","BERTHA","13651","UTAH","780-74-8376","FEMALE",16,"CORALBERRY",1959-04-11,"REPUBLICAN"
"WRIGHT","BRIAN","14651","KENTUCKY","177-09-8832","MALE",51,"AKITA",1959-04-11,"REPUBLICAN"
"JOHNSTON","NICOLE","14652","ALDERWOOD","610-37-3019","FEMALE",1401,"MAPLE",1959-04-12,"REPUBLICAN"
"SMITH","CRISTOBAL","14652","ARIZONA","542-63-7396","MALE",538,"PETERBALD",1959-04-12,"REPUBLICAN"
"MATSON","JASON","13153","WASHINGTON","430-88-9369","MALE",120,"CHERRY",1959-04-13,"REPUBLICAN"
"TREADWAY","DOLLY","15083","UTAH","157-25-5041","FEMALE",295,"REX",1959-04-13,"REPUBLICAN"
"ESLINGER","AMANDA","15084","MARYLAND","373-98-3570","FEMALE",503,"SAFFLOWER",1959-04-14,"INDEPENDENT"
"WILFONG","EDOUARD","13654","ALDERWOOD","164-65-7539","MALE",2163,"HAWTHORN",1959-04-14,"REPUBLICAN"
"BUCK","SCOTT","13655","ALDERWOOD","210-60-9925","MALE",415,"MUNCHKIN",1959-04-15,"DEMOCRAT"
"LEE","FAY","13655","TENNESEE","167-65-7680","FEMALE",74,"BOXWOOD",1959-04-15,"REPUBLICAN"
"ASMUND","GUSTAV","13656","ALDERWOOD","780-39-7954","MALE",2149,"ANGORA",1959-04-16,"REPUBLICAN"
"STANSBURY","BRITTANY","14721","MONTANA","586-53-6495","FEMALE",38,"ROSEMARY",1959-04-16,"DEMOCRAT"
"NOVAK","HANNA","13657","ALDERWOOD","057-96-1218","FEMALE",152,"AIREDALE",1959-04-17,"REPUBLICAN"
"PATTON","MATTHEW","14157","ALDERWOOD","501-27-1815","MALE",909,"ASTER",1959-04-17,"DEMOCRAT"
"ANDERSON","IKE","13658","MONTANA","408-05-6674","MALE",100,"GINGER",1959-04-18,"INDEPENDENT"
"FULTON","RACHEL","14723","ALDERWOOD","214-87-3681","FEMALE",1176,"LOCUST",1959-04-18,"DEMOCRAT"
"BAMPTON","JOSEPHINE","14159","ALDERWOOD","962-28-9541","FEMALE",54,"PRICKLYPEAR",1959-04-19,"DEMOCRAT"
"HARVEY","DANIEL","8159","UTAH","687-37-5369","MALE",42,"TONKINESE",1959-04-19,"DEMOCRAT"
"LINDBERG","MEGAN","14660","OREGON","710-69-8001","FEMALE",1585,"BALINESE",1959-04-20,"REPUBLICAN"
"RODRIGUEZ","KYLE","13160","MEXICO","650-84-4134","MALE",446,"PINE",1959-04-20,"DEMOCRAT"
"DE","JOSHUA","15091","ALDERWOOD","226-47-8552","MALE",464,"SECOND",1959-04-21,"REPUBLICAN"
"JAMES","LAURA","13661","CONNECTICUT","513-17-6500","FEMALE",134,"CORGI",1959-04-21,"DEMOCRAT"
"AVEDOVECH","EMILY","13662","WASHINGTON","990-28-2986","FEMALE",81,"SCHNAUZER",1959-04-22,"REPUBLICAN"
"FORSYTHE","MARCO","14162","IDAHO","609-28-7361","MALE",144,"LILAC",1959-04-22,"DEMOCRAT"
"BACHMANN","JUSTIN","13163","ALDERWOOD","070-93-6996","MALE",1688,"KINNIKINICK",1959-04-23,"REPUBLICAN"
"SNYDER","NANA","14663","UTAH","900-01-0835","MALE",795,"BRITTANY",1959-04-23,"DEMOCRAT"
"DANG","SARAH","13664","OREGON","595-05-2669","FEMALE",1055,"BROOM",1959-04-24,"REPUBLICAN"
"TAYLOR","OMAR","14664","ALDERWOOD","082-24-7606","MALE",738,"SOMALI",1959-04-24,"REPUBLICAN"
"GARRETT","PALOMA","8165","ALDERWOOD","531-50-1619","FEMALE",2905,"CHIHUAHUA",1959-04-25,"REPUBLICAN"
"LINNEN","NEWTON","13665","ALDERWOOD","349-18-4621","MALE",1211,"BOXER",1959-04-25,"REPUBLICAN"
"BRYAN","RENE","13666","OREGON","113-96-2493","FEMALE",2380,"PIXIE",1959-04-26,"REPUBLICAN"
"TAIRA","TAYLOR","14666","ALDERWOOD","967-09-1621","MALE",3199,"AIREDALE",1959-04-26,"REPUBLICAN"
"BELLMORE","SALLY","13167","ALDERWOOD","397-26-1547","FEMALE",2891,"SAVANNAH",1959-04-27,"REPUBLICAN"
"HO","RYAN","15097","ALDERWOOD","996-38-8405","MALE",866,"PETERBALD",1959-04-27,"INDEPENDENT"
"BALLINGER","JESSICA","14168","UTAH","034-30-4202","FEMALE",485,"QUAIL",1959-04-28,"DEMOCRAT"
"MILLER","TEDDY","14733","PENNSYLVANIA","811-40-3463","FEMALE",472,"AKITA",1959-04-28,"REPUBLICAN"
"BROWN","VICKY","14169","OREGON","131-10-1339","FEMALE",2977,"ANGORA",1959-04-29,"REPUBLICAN"
"CHOI","ANDREW","14669","IDAHO","568-03-7520","MALE",12,"HAVANESE",1959-04-29,"DEMOCRAT"
"ENLOE","ASHLEY","14170","FLORIDA","707-95-7082","FEMALE",11,"JUNIPER",1959-04-30,"DEMOCRAT"
"MOUNT","WILFRED","14670","RHODE ISLAND","074-08-0592","MALE",493,"BOXER",1959-04-30,"REPUBLICAN"
"ECKERT","NICHOLAS","14736","CONNECTICUT","056-42-0669","MALE",660,"RAGAMUFFIN",1959-05-01,"DEMOCRAT"
"HANLEN","ANA","14171","WASHINGTON","273-77-8169","FEMALE",18,"PAPILION",1959-05-01,"INDEPENDENT"
"SMITH","SAMANTHA","14172","ALDERWOOD","691-92-0138","FEMALE",3206,"FOURTH",1959-05-02,"DEMOCRAT"
"THOMPSON","BILL","14672","ALDERWOOD","709-30-4591","MALE",1871,"ROSEHIP",1959-05-02,"DEMOCRAT"
"CLIFF","CLAUDETTE","14738","ALDERWOOD","921-86-2020","FEMALE",302,"BURMESE",1959-05-03,"DEMOCRAT"
"COLGAN","TYLER","13673","ALDERWOOD","378-48-3089","FEMALE",1298,"THIRTEENTH",1959-05-03,"REPUBLICAN"
"GLUKHOV","MADISON","14174","UTAH","807-94-7839","FEMALE",715,"MUNCHKIN",1959-05-04,"REPUBLICAN"
"HAMMER","DANNY","13674","ALDERWOOD","727-06-4729","MALE",515,"SPRUCE",1959-05-04,"DEMOCRAT"
"GAINES","ERIKA","8175","MEXICO","864-66-5911","FEMALE",81,"HONEYSUCKLE",1959-05-05,"DEMOCRAT"
"IWAN","JACOB","14675","MEXICO","109-52-6294","MALE",326,"SIXTH",1959-05-05,"REPUBLICAN"
"BIANGASSO","HANNAH","14676","ARIZONA","565-54-7798","FEMALE",171,"SUMAC",1959-05-06,"REPUBLICAN"
"SOLINSKY","FRED","13676","ALDERWOOD","955-98-5276","MALE",483,"PHEASANT",1959-05-06,"DEMOCRAT"
"BRUNSDON","GRACE","13677","ALDERWOOD","935-19-9831","FEMALE",427,"FIFTEENTH",1959-05-07,"REPUBLICAN"
"YOUNG","ZACHARY","14742","FLORIDA","926-23-8618","MALE",725,"MARIGOLD",1959-05-07,"REPUBLICAN"
"GILLE","HENRI","14678","ALDERWOOD","690-55-6853","MALE",2401,"BROOM",1959-05-08,"REPUBLICAN"
"WEBBER","KAYLA","14178","OREGON","777-40-9983","FEMALE",3445,"BUTTONWOOD",1959-05-08,"REPUBLICAN"
"ECKERT","BRANDON","13179","OREGON","702-61-2469","MALE",379,"GINGER",1959-05-09,"REPUBLICAN"
"JONES","IDA","14679","KANSAS","646-95-7568","FEMALE",185,"HONEYSUCKLE",1959-05-09,"REPUBLICAN"
"CHAVEZ","ALEXIS","13180","ALDERWOOD","137-76-6297","FEMALE",21,"SECOND",1959-05-10,"INDEPENDENT"
"KILLEEN","JOAQUIN","13180","ALDERWOOD","274-52-9673","FEMALE",2527,"PALMETTO",1959-05-10,"REPUBLICAN"
"KIM","AUSTIN","13181","UTAH","355-88-1702","MALE",11,"CORALBERRY",1959-05-11,"DEMOCRAT"
"SETCAVAGE","KATE","15111","ALDERWOOD","939-23-2471","FEMALE",1149,"MAPLE",1959-05-11,"REPUBLICAN"
"SODERQUIST","LISA","14182","ALDERWOOD","612-44-3637","FEMALE",2030,"SCOTTISH",1959-05-12,"DEMOCRAT"
"THIBODEAU","LARRY","7682","ALDERWOOD","746-15-4684","MALE",2583,"FOURTH",1959-05-12,"REPUBLICAN"
"CARTER","MINDY","13683","ALDERWOOD","565-95-9330","FEMALE",20,"KINNIKINICK",1959-05-13,"REPUBLICAN"
"HU","ETHAN","13683","ALDERWOOD","159-07-3563","MALE",1639,"BARREL",1959-05-13,"DEMOCRAT"
"ANTOLICK","NICHOLAS","14184","UTAH","615-72-1959","MALE",885,"TIFFANY",1959-05-14,"INDEPENDENT"
"SMITH","CHRISTINE","7684","ALDERWOOD","672-59-6235","FEMALE",1142,"TWENTIETH",1959-05-14,"DEMOCRAT"
"BAECHLER","ODETTE","14750","MEXICO","803-21-3153","FEMALE",509,"PAPILION",1959-05-15,"DEMOCRAT"
"JOHNSON","ANTHONY","13185","ALDERWOOD","720-18-5813","MALE",1729,"SCHNAUZER",1959-05-15,"DEMOCRAT"
"BRADSHAW","PETER","8186","ALDERWOOD","057-37-1691","MALE",417,"CLOUDBERRY",1959-05-16,"DEMOCRAT"
"WILLIAMS","CHRISTINA","7686","ALDERWOOD","381-57-9048","FEMALE",1890,"MARIGOLD",1959-05-16,"REPUBLICAN"
"BIRNBAUM","ROSE","14687","ALDERWOOD","460-08-1407","FEMALE",178,"LUPIN",1959-05-17,"DEMOCRAT"
"JONES","ALEXANDER","13687","ALDERWOOD","497-92-1590","MALE",419,"BEARBERRY",1959-05-17,"REPUBLICAN"
"BROWN","TRACY","15118","ARIZONA","915-01-5369","FEMALE",234,"AKITA",1959-05-18,"REPUBLICAN"
"RIEKE","SAM","15118","ALDERWOOD","436-29-0884","MALE",928,"WASHINGTON",1959-05-18,"DEMOCRAT"
"DAVIS","JONATHON","14754","UTAH","860-24-8434","MALE",590,"COONHOUND",1959-05-19,"REPUBLICAN"
"LINEHAN","TERESA","13689","ALDERWOOD","919-74-9631","FEMALE",3325,"BOXWOOD",1959-05-19,"DEMOCRAT"
"ELLIOTT","VICTOR","13190","ALDERWOOD","055-35-8972","MALE",800,"SCOTTISH",1959-05-20,"REPUBLICAN"
"MILLER","KAREN","13690","ALDERWOOD","711-49-8974","FEMALE",1439,"THIRTEENTH",1959-05-20,"REPUBLICAN"
"PHILLIPS","WANDA","13691","ALDERWOOD","299-35-6548","FEMALE",3402,"AFGHAN",1959-05-21,"REPUBLICAN"
"WILSON","DYLAN","14691","ALDERWOOD","594-11-7337","FEMALE",2247,"BENGAL",1959-05-21,"REPUBLICAN"
"MOORE","SUSAN","14757","ALDERWOOD","610-86-9706","FEMALE",76,"SAGUARO",1959-05-22,"REPUBLICAN"
"THOMSEN","THOMAS","13692","UTAH","918-77-9393","MALE",1145,"OAK",1959-05-22,"REPUBLICAN"
"BARFUSS","MARY","14693","MARYLAND","983-71-0206","FEMALE",810,"MAIN",1959-05-23,"REPUBLICAN"
"TAYLOR","SAMUEL","14193","OREGON","938-98-4661","MALE",3952,"SASKATOON",1959-05-23,"INDEPENDENT"
"AABERG","TAMMY","7694","ALDERWOOD","947-31-4578","FEMALE",1400,"SCHNAUZER",1959-05-24,"DEMOCRAT"
"RIECK","JAMES","15124","ALDERWOOD","780-74-4787","MALE",2296,"BOMBAY",1959-05-24,"REPUBLICAN"
"ABBOTT","JOSE","15125","ALDERWOOD","353-81-9018","MALE",930,"PETERBALD",1959-05-25,"DEMOCRAT"
"SLATE","PATRICIA","14195","ARIZONA","094-52-1779","FEMALE",156,"CROWBERRY",1959-05-25,"REPUBLICAN"
"ACE","TABITHA","14196","ALDERWOOD","257-87-2976","FEMALE",1470,"SEVENTH",1959-05-26,"DEMOCRAT"
"STILES","JOHN","14696","ALDERWOOD","862-75-7792","MALE",721,"AKITA",1959-05-26,"REPUBLICAN"
"ACKERMAN","BENJAMIN","13697","WASHINGTON","330-61-4321","MALE",32,"SALMON",1959-05-27,"DEMOCRAT"
"RITHER","LINDA","14197","MEXICO","939-98-0482","FEMALE",440,"PERSIAN",1959-05-27,"INDEPENDENT"
"ADAMS","DEBORAH","14698","ALDERWOOD","648-59-4487","FEMALE",1071,"SOMALI",1959-05-28,"DEMOCRAT"
"TUAN","ROBERT","14763","ALDERWOOD","099-89-2063","MALE",1705,"PIXIE",1959-05-28,"DEMOCRAT"
"ADDLEMAN","NATHAN","13699","ALDERWOOD","266-04-2932","MALE",952,"NINETEENTH",1959-05-29,"REPUBLICAN"
"LIIKALA","BARBARA","14199","ALDERWOOD","106-49-4248","FEMALE",3458,"BORZOI",1959-05-29,"DEMOCRAT"
"ADKINS","SANDRA","13700","ALDERWOOD","872-38-0181","FEMALE",1386,"ESKIMO",1959-05-30,"REPUBLICAN"
"CROW","MICHAEL","13700","ALDERWOOD","515-62-9869","MALE",912,"BURMESE",1959-05-30,"DEMOCRAT"
"ALEXANDER","LOGAN","14701","ALDERWOOD","716-16-6913","MALE",609,"ELDERBERRY",1959-05-31,"REPUBLICAN"
"HALO","ELIZABETH","14201","ALDERWOOD","237-26-1661","FEMALE",721,"CORNFLOWER",1959-05-31,"DEMOCRAT"
"AKER","PATRICIA","13702","IDAHO","208-30-3204","FEMALE",181,"STRAWBERRY",1959-06-01,"REPUBLICAN"
"PERKINS","WILLIAM","14702","ALDERWOOD","581-07-9766","MALE",3374,"SEVENTH",1959-06-01,"DEMOCRAT"
"ALLEN","KEVIN","12703","ALDERWOOD","931-65-6895","MALE",2513,"CORNFLOWER",1959-06-02,"REPUBLICAN"
"COSBY","JENNIFER","14703","OREGON","091-11-5438","FEMALE",2902,"SPHYNX",1959-06-02,"REPUBLICAN"
"ALLWINE","DONNA","13204","MONTANA","475-69-0141","FEMALE",65,"SUMAC",1959-06-03,"REPUBLICAN"
"MELLAND","DAVID","14769","CONNECTICUT","188-49-8639","MALE",49,"PALM",1959-06-03,"REPUBLICAN"
"AMAN","GABRIEL","13705","ALDERWOOD","456-84-5106","MALE",430,"JUNIPER",1959-06-04,"REPUBLICAN"
"FLEMING","MARIA","14205","ALDERWOOD","593-71-3203","FEMALE",2177,"BLACKBERRY",1959-06-04,"REPUBLICAN"
"BACHELOR","LINDA","13706","ALDERWOOD","875-87-8076","FEMALE",973,"ASIAN",1959-06-05,"INDEPENDENT"
"BUCK","RICHARD","13206","UTAH","095-08-6239","MALE",1010,"SWEET PEA",1959-06-05,"REPUBLICAN"
"BACON","NOAH","14707","OREGON","242-61-5598","MALE",136,"BITTEROOT",1959-06-06,"DEMOCRAT"
"MCDONALD","SUSAN","13207","MONTANA","981-02-9659","FEMALE",229,"LAVENDER",1959-06-06,"REPUBLICAN"
"AINSWORTH","CHARLES","13208","UTAH","514-94-7338","MALE",130,"BOXWOOD",1959-06-07,"REPUBLICAN"
"BAER","DEBRA","13708","ALDERWOOD","797-58-9408","FEMALE",2058,"PINE",1959-06-07,"DEMOCRAT"
"BAILEY","CALEB","7709","ALDERWOOD","678-44-2282","MALE",1799,"FOXGLOVE",1959-06-08,"DEMOCRAT"
"NELSON","MARGARET","14209","ALDERWOOD","363-74-3374","FEMALE",1057,"RAGAMUFFIN",1959-06-08,"REPUBLICAN"
"BAKER","BRENDA","14210","KENTUCKY","290-55-6450","MALE",59,"BLACKBERRY",1959-06-09,"DEMOCRAT"
"OLSEN","JOSEPH","13710","ALDERWOOD","533-52-2720","MALE",671,"BUTTONWOOD",1959-06-09,"INDEPENDENT"
"BONHAM","DOROTHY","7711","ALDERWOOD","692-44-6362","FEMALE",2044,"SPRUCE",1959-06-10,"DEMOCRAT"
"WHITFORD","JORDAN","14711","CALIFORNIA","739-93-3028","MALE",130,"BEAGLE",1959-06-10,"DEMOCRAT"
"MILLER","JASMINE","14212","ALDERWOOD","146-52-7244","FEMALE",662,"ESKIMO",1959-06-11,"REPUBLICAN"
"STEWART","JOSEPH","13212","ALDERWOOD","610-24-2678","MALE",665,"LUPIN",1959-06-11,"DEMOCRAT"
"BECKER","HUNTER","14713","ALASKA","480-63-6647","MALE",95,"PHEASANT",1959-06-12,"REPUBLICAN"
"DREWREY","BETH","7713","ARKANSAS","896-34-0630","FEMALE",41,"EIGHTH",1959-06-12,"DEMOCRAT"
"BIERSCHBACH","BRAD","13714","ALDERWOOD","915-64-1312","MALE",999,"SNOWSHOE",1959-06-13,"DEMOCRAT"
"BRAGG","SYDNEY","14214","WYOMING","543-05-9247","FEMALE",1115,"SAVANNAH",1959-06-13,"REPUBLICAN"
"COLE","CARRIE","15145","MEXICO","199-98-5957","FEMALE",92,"POODLE",1959-06-14,"DEMOCRAT"
"FOLEY","CAMERON","8215","ALDERWOOD","934-12-2161","MALE",1044,"JAVANESE",1959-06-14,"REPUBLICAN"
"HENDERSON","VICTORIA","13716","ALDERWOOD","373-43-6365","FEMALE",463,"ABYSSINIAN",1959-06-15,"REPUBLICAN"
"RUTZ","DONALD","14781","ALDERWOOD","898-48-5727","MALE",1412,"ARROWOOD",1959-06-15,"REPUBLICAN"
"BALL","KYLE","13717","UTAH","010-92-2136","MALE",650,"BEARBERRY",1959-06-16,"REPUBLICAN"
"PULSIPHER","CAROLINE","13717","ILLINOIS","191-64-3759","FEMALE",61,"JUNIPER",1959-06-16,"REPUBLICAN"
"BARRO","ANNA","8218","ALDERWOOD","873-14-2666","FEMALE",1792,"HAVANESE",1959-06-17,"REPUBLICAN"
"STAPP","DENNIS","14718","ALDERWOOD","978-10-9751","MALE",665,"MALTESE",1959-06-17,"REPUBLICAN"
"BARNES","ELIJAH","14719","ALDERWOOD","555-54-4739","MALE",1545,"CRANBERRY",1959-06-18,"INDEPENDENT"
"THORNTON","KATY","14784","OREGON","639-21-5908","FEMALE",3721,"ESKIMO",1959-06-18,"REPUBLICAN"
"BARRETT","BRIANNA","14220","ALDERWOOD","789-55-2784","FEMALE",1385,"CORNISH",1959-06-19,"DEMOCRAT"
"SCHNEIDER","WAYNE","14220","ARIZONA","771-33-6345","MALE",245,"CORNFLOWER",1959-06-19,"REPUBLICAN"
"BARRY","JASON","13721","ALDERWOOD","179-80-7244","MALE",2324,"EIGHTEENTH",1959-06-20,"DEMOCRAT"
"ROHAY","CYNTHIA","7721","MEXICO","263-61-6613","FEMALE",250,"HIMALAYA",1959-06-20,"REPUBLICAN"
"LANIGAN","NEAL","15152","ALDERWOOD","200-50-8160","MALE",641,"BLUEBERRY",1959-06-21,"REPUBLICAN"
"OLIVEIRA","JESSICA","14222","ALDERWOOD","831-69-7676","FEMALE",98,"BLUEBERRY",1959-06-21,"DEMOCRAT"
"HARTSHORN","NATALIE","14223","IDAHO","690-75-5302","FEMALE",170,"SEVENTH",1959-06-22,"INDEPENDENT"
"ORGILL","JACK","13223","ILLINOIS","233-53-4528","MALE",99,"TURKISH",1959-06-22,"DEMOCRAT"
"WHITING","GRACE","13724","UTAH","922-03-6573","FEMALE",83,"QUAIL",1959-06-23,"DEMOCRAT"
